key,dateCreated,latitude,longitude,altitude,deviceId,entryId,lastEdited,timeUploaded,projectName,photo,info,
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI4L_QCAw,2014-09-19 08:55:22.842000,59.68040835,10.60519135,51.0,52c382d2116756d3,52c382d2116756d3_1411116922842,2014-09-19 08:55:22.842000,2014-09-19 09:07:01.596760,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI4L_QCAw","s4 7",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwspnXCAw,2014-09-19 08:55:53.165000,59.67970555,10.60585083,53.0,52c382d2116756d3,52c382d2116756d3_1411116953165,2014-09-19 08:55:53.165000,2014-09-19 09:07:06.059330,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwspnXCAw","s4 8",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwvc7aCAw,2014-09-19 08:51:38.562000,59.68055826,10.60451603,50.0,52c382d2116756d3,52c382d2116756d3_1411116698562,2014-09-19 08:51:38.562000,2014-09-19 08:52:16.852330,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwvc7aCAw","s4 6",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwlo_bCAw,2014-09-19 09:23:06.014000,59.6777777514,10.6078798324,12.6683959961,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,72D2F431-AA27-475D-AF9D-886F5E361ED1-10250-00000B061468D600,2014-09-19 09:23:56.109000,2014-09-19 09:30:07.862710,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwlo_bCAw","Iphone post 13",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI4KuBCQw,2014-09-19 08:40:24.836000,59.6790735517,10.6036460493,5.84887695312,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,738F6E35-FCBF-4C9B-840D-578073E19BC1-10172-00000AFEEF2E5DFE,2014-09-19 08:41:01.947000,2014-09-19 08:55:32.410890,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICI4KuBCQw","Iphone post 3",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwkdqBCQw,2014-09-19 10:56:13.735000,59.6742706374,10.6069106329,25.7855834961,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,06829B4D-BD26-408F-B2DE-163D78590B48-10318-00000B11D97922CF,2014-09-19 10:57:31.994000,2014-09-19 11:06:27.544380,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwkdqBCQw","Iphone post 22 oberst",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwt-aDCQw,2014-09-19 08:40:12.825000,59.67876139,10.60388254,19.0,52c382d2116756d3,52c382d2116756d3_1411116012825,2014-09-19 08:40:12.825000,2014-09-19 08:44:25.447260,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwt-aDCQw","s4 3",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDw2cGGCQw,2014-09-17 07:28:58.699000,59.93494341,10.7579025,128.0,52c382d2116756d3,52c382d2116756d3_1410938938699,2014-09-17 07:28:58.699000,2014-09-17 07:30:41.413470,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDw2cGGCQw","myrens",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwu9SICQw,2014-09-19 09:04:14.081000,59.6790101007,10.6068628561,17.9852905273,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,7669A509-5769-401E-9C53-C1B21002BA06-10217-00000B035F9445EA,2014-09-19 09:05:00.385000,2014-09-19 09:16:51.913360,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwu9SICQw","Iphone post 9",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwiLyMCQw,2014-09-19 10:39:02.375000,59.6731604124,10.6086021848,23.3825683594,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,991C8173-8DE8-45DC-B5EB-AFA66C8FC63B-10299-00000B0D1740ECA3,2014-09-19 10:39:52.490000,2014-09-19 10:50:34.229890,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwiLyMCQw","Iphne Post 18 kanon",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwsoOOCQw,2014-09-19 09:28:06.406000,59.6786598629,10.6074166484,14.4582519531,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,60331FB7-E040-4297-8D08-8B52769F7639-10256-00000B06B825A70A,2014-09-19 09:29:46.883000,2014-09-19 09:30:07.291520,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwsoOOCQw","Iphone post 14",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwjNiOCQw,2014-09-19 08:37:27.012000,59.67853834,10.60384216,46.0,52c382d2116756d3,52c382d2116756d3_1411115847012,2014-09-19 08:37:27.012000,2014-09-19 08:38:02.948580,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwjNiOCQw","s4 2",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwsuefCQw,2014-09-19 08:59:30.943000,59.6796287271,10.6058235839,8.46240234375,FFFFFFFFC5C93379D0FA4592A21BB0B918D16CB9,B6353014-C0CE-449F-8EDB-C0AEB696436F-10204-00000B0277C753B6,2014-09-19 09:00:58.912000,2014-09-19 09:16:52.410100,Oscarsborg,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDwsuefCQw","Iphone Post 8 ",
